Product_ID,Product_Name,Category,Brand,Unit_Price
PROD0001,Drone Mini,Books,BrightLux,106.59
PROD0002,Microphone,Home & Kitchen,UrbanStyle,251.37
PROD0003,Power Bank 20000mAh,Clothing,UrbanStyle,35.03
PROD0004,Webcam Full HD,Home & Kitchen,Zenith,33.58
PROD0005,T-Shirt,Clothing,KiddoFun,515.64
PROD0006,Cookware Set,Books,ReadMore,449.73
PROD0007,Dress Shirt,Clothing,UrbanStyle,219.81
PROD0008,Jeans,Toys & Games,KiddoFun,306.51
PROD0009,Kids Toy Car,Sports & Outdoors,Apex,146.09
PROD0010,Wireless Earbuds,Clothing,Apex,278.21
PROD0011,Car Charger,Books,HomeEase,141.42
PROD0012,Projector Mini,Home & Kitchen,KiddoFun,346.56
PROD0013,Vacuum Cleaner,Home & Kitchen,Zenith,496.76
PROD0014,Microphone,Home & Kitchen,Apex,523.27
PROD0015,Desk Plant,Books,HomeEase,291.37
PROD0016,Jeans,Sports & Outdoors,HomeEase,533.12
PROD0017,Running Shoes,Home & Kitchen,Zenith,453.47
PROD0018,Graphic Tablet,Toys & Games,KiddoFun,547.58
PROD0019,Puzzle 1000pc,Electronics,ReadMore,529.19
PROD0020,Microphone,Sports & Outdoors,HomeEase,303.53
PROD0021,Jeans,Toys & Games,Apex,226.26
PROD0022,Smartwatch,Books,ReadMore,493.47
PROD0023,Smartphone Case,Toys & Games,Apex,452.12
PROD0024,Backpack,Electronics,ReadMore,107.95
PROD0025,4K Monitor,Toys & Games,KiddoFun,16.68
PROD0026,Dress Shirt,Clothing,Apex,380.23
PROD0027,Smart Light Bulb,Toys & Games,UrbanStyle,569.69
PROD0028,LED Desk Lamp,Books,HomeEase,138.33
PROD0029,Smart Light Bulb,Electronics,Zenith,381.45
PROD0030,Phone Tripod,Toys & Games,ReadMore,199.99
PROD0031,Car Charger,Books,Apex,269.8
PROD0032,Gaming Mouse,Sports & Outdoors,FitLife,126.5
PROD0033,Memory Card 128GB,Electronics,CoreTech,151.95
PROD0034,Car Charger,Clothing,HomeEase,218.74
